I
1100 Version - data cycle 1611, build 20161011, metadata AwyXP1100. Copyright (c) 2016 Navigraph

   9H CY  2    GL CY  2 N 1  35 179 RR12
   9H CY  2   YFM CY  2 N 1   0   0 RR12
   AA BG  2 ASMOD BG 11 N 1   0 195 W31
   AA BG  2 ASMOD BG 11 N 2 195 285 UW31
   AA BG  2 KUKAK BG 11 N 1   0   0 W30
   AA BG  2 KUKAK BG 11 N 2   0   0 UW30
   AA BG  2 NYGAR BG 11 N 1   0   0 W22
   AA BG  2 NYGAR BG 11 N 2   0   0 UW22
  AAE VA  3 AMVIG VA 11 N 1 280 460 G472-N895
  AAE VA  3 AMVIG VA 11 N 2 280 460 G472-N895
  AAE VA  3 BODAR VA 11 N 1  80 460 W40
  AAE VA  3 BODAR VA 11 N 2  80 460 W40
  AAE VA  3   BVR VA  3 F 1  80 460 W13S
  AAE VA  3   BVR VA  3 F 2  80 460 W13S
  AAE VA  3    KS VA  2 N 1   0   0 W63
  AAE VA  3    KS VA  2 N 2   0   0 W63
  AAE VA  3 LADUP VA 11 N 1   0   0 W135
  AAE VA  3 LADUP VA 11 N 2   0   0 W135
  AAE VA  3   QQZ VA  3 N 1   0   0 W97
  AAE VA  3   QQZ VA  3 N 2   0   0 W97
  AAE VA  3   RKT VA  3 N 1   0   0 W62
  AAE VA  3   RKT VA  3 N 2   0   0 W62
  AAE VA  3 SASRO VA 11 F 1   0   0 G451-N895
  AAE VA  3 SASRO VA 11 F 2   0   0 G451-N895
  AAE VA  3   UUD VA  3 N 1  80 460 Q3-W13N-W13S
  AAE VA  3   UUD VA  3 N 2  80 460 Q3-W13N-W13S
  AAL EK  3 ADSEN EK 11 N 1 195 660 M725
  AAL EK  3 ADSEN EK 11 N 2 195 660 M725
  AAL EK  3 ARTOR EN 11 N 1  95 660 P615
  AAL EK  3 ARTOR EN 11 N 2  95 660 P615
  AAL EK  3 DETNA EK 11 N 1 285 660 N866
  AAL EK  3 DETNA EK 11 N 2 285 660 N866
  AAL EK  3 INTET EK 11 N 1  95 660 P622
  AAL EK  3 INTET EK 11 N 2  95 660 P622
  AAL EK  3 KEMEG EK 11 N 1 285 660 N866
  AAL EK  3 KEMEG EK 11 N 2 285 660 N866
  AAL EK  3 KOVIK EN 11 N 1  35 660 P990
  AAL EK  3 KOVIK EN 11 N 2  35 660 P990
  AAL EK  3 KUVUS EK 11 F 1  95 660 N607
  AAL EK  3 KUVUS EK 11 F 2  95 660 N607
  AAL EK  3 LAGUM EK 11 N 1  35 660 L621
  AAL EK  3 LAGUM EK 11 N 2  35 660 L621
  AAL EK  3 LAPMA EK 11 N 1  35 660 L621
  AAL EK  3 LAPMA EK 11 N 2  35 660 L621
  AAL EK  3 LASRO EK 11 N 1  95 660 N607
  AAL EK  3 LASRO EK 11 N 2  95 660 N607
  AAL EK  3 NERDO EN 11 N 1  95 660 P621
  AAL EK  3 NERDO EN 11 N 2  95 660 P621
  AAL EK  3 RADIS EK 11 N 1  35 660 P615
  AAL EK  3 RADIS EK 11 N 2  35 660 P615
  AAL EK  3 RETKA EN 11 N 1 115 660 P622
  AAL EK  3 RETKA EN 11 N 2 115 660 P622
  AAL EK  3 TESPI EK 11 F 1  35 660 T551
  AAL EK  3 TESPI EK 11 F 2  35 660 T551
  AAL EK  3 TINAC EK 11 N 1   0   0 T138
  AAL EK  3 TINAC EK 11 N 2   0   0 T138
  AAL EK  3 VAXIT EK 11 N 1   0   0 Z716
  AAL EK  3 VAXIT EK 11 N 2   0   0 Z716
AAMYY PA 11 POWAL PA 11 N 2 180 600 R451
AAMYY PA 11   SYA PA  2 F 2 180 600 R591
AAMYY PA 11 WALLT PA 11 N 2 180 600 R451
AANDY K3 11 BECOM K3 11 N 1  30 179 V159
AANDY K3 11 CANIO K3 11 N 1  30 179 V159
AANTS K6 11 HOAGE K6 11 N 1  60 179 V143-V3-V39
AANTS K6 11 KERRE K6 11 N 1  60 179 V143-V3-V39
AANTS K6 11 TEAKK K6 11 N 1  65 179 V286
   AA NZ  3 AGREX NZ 11 N 1   0 460 A580
   AA NZ  3 AGREX NZ 11 N 2   0 460 A580
   AA NZ  3    AP NZ  2 N 1   0   0 W115
   AA NZ  3    AP NZ  2 N 2   0   0 W115
   AA NZ  3 BIKOT NZ 11 N 1   0   0 H259
   AA NZ  3 BIKOT NZ 11 N 2   0   0 H259
   AA NZ  3 BROOK NZ 11 N 1   0   0 Q277
   AA NZ  3 BROOK NZ 11 N 2   0   0 Q277
   AA NZ  3 DUGAN NZ 11 N 1   0 460 A597
   AA NZ  3 DUGAN NZ 11 N 2   0 460 A597
   AA NZ  3    GB NZ  2 N 1   0   0 H136
   AA NZ  3    GB NZ  2 N 2   0   0 H136
   AA NZ  3 IGABI NZ 11 N 1   0 460 H182
   AA NZ  3 IGABI NZ 11 N 2   0 460 H182
   AA NZ  3 KALAG NZ 11 N 1   0 460 A578
   AA NZ  3 KALAG NZ 11 N 2   0 460 A578
   AA NZ  3 KAPAI NZ 11 F 1   0   0 Y320
   AA NZ  3 KAPAI NZ 11 F 2   0   0 Y320
   AA NZ  3 KAWAU NZ 11 N 1   0 460 Q520
   AA NZ  3 KAWAU NZ 11 N 2   0 460 Q520
   AA NZ  3 KENNE NZ 11 N 1   0 460 G594
   AA NZ  3 KENNE NZ 11 N 2   0 460 G594
   AA NZ  3 KOPPA NZ 11 N 1   0 460 H460
   AA NZ  3 KOPPA NZ 11 N 2   0 460 H460
   AA NZ  3 KYPRA NZ 11 N 1   0 460 G591
   AA NZ  3 KYPRA NZ 11 N 2   0 460 G591
   AA NZ  3 LAKES NZ 11 N 1   0   0 H211
   AA NZ  3 LAKES NZ 11 N 2   0   0 H211
   AA NZ  3 LIMES NZ 11 N 1   0   0 H384
   AA NZ  3 LIMES NZ 11 N 2   0   0 H384
   AA NZ  3 MADEP NZ 11 F 2   0 460 N774
   AA NZ  3 MAYOR NZ 11 F 1   0 460 V122
   AA NZ  3 MAYOR NZ 11 F 2   0 460 V122
   AA NZ  3 OKTUB NZ 11 N 1   0 460 B575
   AA NZ  3 OKTUB NZ 11 N 2   0 460 B575
   AA NZ  3 OLBEX NZ 11 N 1   0 460 G599
   AA NZ  3 OLBEX NZ 11 N 2   0 460 G599
   AA NZ  3 OTATA NZ 11 N 1   0   0 H271
   AA NZ  3 OTATA NZ 11 N 2   0   0 H271
   AA NZ  3 PAPTI NZ 11 N 1   0   0 A464
   AA NZ  3 PAPTI NZ 11 N 2   0   0 A464
   AA NZ  3 PEBLU NZ 11 N 2   0   0 N759
   AA NZ  3 PUHOI NZ 11 N 1   0 460 H379
   AA NZ  3 PUHOI NZ 11 N 2   0 460 H379
   AA NZ  3    RD NZ  2 N 1   0 460 H167
   AA NZ  3    RD NZ  2 N 2   0 460 H167
   AA NZ  3 SALAG NZ 11 N 1   0   0 A346
   AA NZ  3 SALAG NZ 11 N 2   0   0 A346
   AA NZ  3    SY NZ  2 N 1   0   0 H403
   AA NZ  3    SY NZ  2 N 2   0   0 H403
   AA NZ  3 TARIB NZ 11 N 1   0 460 G347
   AA NZ  3 TARIB NZ 11 N 2   0 460 G347
   AA NZ  3 TULMI NZ 11 N 1   0   0 H372
   AA NZ  3 TULMI NZ 11 N 2   0   0 H372
   AA NZ  3 VELMO NZ 11 N 2   0   0 L513
   AA NZ  3    WP NZ  3 N 1   0   0 H182
   AA NZ  3    WP NZ  3 N 2   0   0 H182
  AAQ SB  2 MIBIS SB 11 N 1 200 245 W13
  AAQ SB  2 PUKTO SB 11 F 2 250 600 UM411-UZ22
  AAQ SB  2   RPR SB  2 N 1 150 245 W13
  AAQ SB  2 TEMOB SB 11 F 2 250 600 UZ31
  AAR OE  3 DELNI OE 11 N 1   0   0 V16
  AAR OE  3 DELNI OE 11 N 2   0   0 V16
  AAR OE  3 GADLI OE 11 N 1   0   0 V13
  AAR OE  3 GADLI OE 11 N 2   0   0 V13
  AAR OE  3 KAVID OE 11 N 1 115 460 B411
  AAR OE  3 KAVID OE 11 N 2 115 460 B411
  AAR OE  3 MURIB OE 11 N 1 160 460 B411
  AAR OE  3 MURIB OE 11 N 2 160 460 B411
  AAR OE  3 OVANO OE 11 F 1 160 460 UL768
  AAR OE  3 OVANO OE 11 F 2 160 460 UL768
  AAR OE  3 RAGED OE 11 N 1 120 460 V45
  AAR OE  3 RAGED OE 11 N 2 120 460 V45
  AAR OE  3   TRF OE  3 N 1 120 460 V45
  AAR OE  3   TRF OE  3 N 2 120 460 V45
  AAR VI  3 ASARI VI 11 N 1  90 460 W30E-W30W
  AAR VI  3 ASARI VI 11 N 2  90 460 W30E-W30W
  AAR VI  3 BOKAD VI 11 N 1  90 460 W30E-W30W
  AAR VI  3 BOKAD VI 11 N 2  90 460 W30E-W30W
